Set temp 30 degree;
Measured 24.5 degree;
Waited for long time while capturing the previous logs. No stimulus applied at that time;
Started getting logs and then applied stimulus just after that;
Temprature went as high as upto 50 and machine gave error message as The heater is too hot.


PS C:\Users\DELL> python -m serial.tools.miniterm COM3 115200
--- Miniterm on COM3  115200,8,N,1 ---
--- Quit: Ctrl+] | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H ---
00:40:38.481 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.484 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.500 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.520 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.523 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.540 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.561 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.565 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.579 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.600 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.604 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.619 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.640 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.644 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.659 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.680 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.684 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.699 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.721 V: [rs485]: Received: 10 - 7e 05 fe bf 00 ac 7e
00:40:38.739 V: [rs485]: Received: 0 - 7e 05 10 bf 06 5c 7e
00:40:38.743 V: [rs485]: Received: 0 - 7e 05 10 bf 07 5b 7e
00:40:38.774 V: [rs485]: Received: 0 - 7e 20 ff af 13 00 03 31 0c 34 00 28 03 06 03 18 00 00 02 00 00 00 00 02 02 3c 00 00 00 1e 00 00 1c 7e
00:40:38.775 V: [rs485]: Set SPA id 0x0A
00:40:38.776 V: [rs485]: Sent: 7e 08 0a bf 05 04 37 00 ca 7e
00:40:38.777 V: [rs485]: Sent Existing Client Response
00:40:38.800 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.804 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.819 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.840 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.844 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.859 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.879 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.883 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.899 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.922 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.926 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
00:40:38.939 V: [rs485]: Received: 10 - 7e 05 0a bf 06 79 7e
00:40:38.960 V: [rs485]: Received: 10 - 7e 05 10 bf 06 5c 7e
00:40:38.964 V: [rs485]: Received: 10 - 7e 05 10 bf 07 5b 7e
